OBJECTID	FIPS	IMR3	IMR2	IMR1	PTB3	PTB2	PTB1	NAS3	NAS2	NAS1	county
24	39103408003	0.280823489	0.088537831	0.316351593	0.990642074	0.33389498	0.921174382	0.571422844	0.461310432	0.350146572	Medina
25	39103417100	0.111167686	0.435673776	0.516334955	0.364435161	0.134669155	0.035072846	0.704224471	0.531703787	0.182886269	Medina
26	39103408001	0.073618463	0.185052121	0.394519824	0.203428463	0.622630424	0.097649398	0.234894634	0.424403476	0.864549692	Medina
27	39103408201	0.084857835	0.382152663	0.052196511	0.937098791	0.145933192	0.947272955	0.402153869	0.746171972	0.883631162	Medina
28	39103408002	0.156289002	0.055929198	0.016061584	0.985619515	0.060047061	0.307158097	0.741104316	0.769414874	0.85396887	Medina
29	39145002600	0.981616246	0.745662904	0.177095701	0.14087859	0.903967076	0.975857346	0.230801154	0.199872879	0.580948218	Scioto
30	39145002700	0.7638925	0.538146136	0.097038395	0.851168804	0.114482275	0.277345002	0.594857585	0.128503195	0.576861754	Scioto
31	39145002300	0.149178547	0.503927715	0.02018249	0.180560424	0.271025868	0.454146119	0.082461928	0.956639786	0.153345613	Scioto
32	39145004000	0.099790031	0.492915721	0.693676111	0.201439583	0.202393818	0.443377128	0.423295849	0.127934226	0.895730851	Scioto
33	39145002400	0.273248809	0.890205162	0.937180115	0.741081439	0.761011224	0.082725572	0.117128792	0.910342336	0.297866119	Scioto
34	39145002500	0.56711209	0.214516851	0.664515205	0.362588447	0.32591354	0.420289917	0.622859361	0.224891912	0.500875156	Scioto
35	39145003100	0.139280491	0.33374926	0.320641725	0.528211359	0.859103727	0.47946257	0.227374576	0.97902202	0.456211678	Scioto
36	39145003200	0.028337192	0.667684658	0.455855672	0.215189715	0.459685617	0.917410154	0.216862411	0.61025512	0.748308929	Scioto
37	39145003600	0.303405485	0.052801286	0.989384517	0.919513865	0.458505485	0.338146761	0.257087464	0.277909713	0.528805484	Scioto
38	39145003800	0.502351256	0.9577627	0.613252285	0.385792324	0.440885058	0.582011869	0.094003689	0.512028981	0.971895629	Scioto
39	39145003900	0.374972265	0.350989012	0.113680706	0.12119221	0.675353313	0.316856684	0.96160563	0.484885601	0.255756122	Scioto
40	39145002800	0.002700652	0.427788839	0.130264226	0.137963557	0.250633754	0.050210081	0.943113276	0.144955126	0.678772871	Scioto
41	39145002100	0.973425061	0.7482669	0.187188095	0.247559323	0.009830664	0.18872344	0.173793143	0.015054667	0.403703022	Scioto
42	39145003000	0.060885592	0.555909187	0.187678538	0.454338027	0.616766581	0.471130742	0.232060567	0.672520466	0.552569589	Scioto
43	39145002200	0.214397553	0.738599625	0.957451245	0.443205775	0.73564142	0.715321555	0.169451116	0.713676198	0.961639378	Scioto
44	39145002900	0.723439704	0.246251874	0.942580111	0.058843017	0.91125807	0.94129622	0.562439134	0.789265357	0.061391832	Scioto
45	39145003300	0.970699752	0.433164831	0.206279489	0.697744472	0.001533636	0.787114785	0.538345166	0.288270539	0.417663226	Scioto
46	39145003400	0.954781838	0.472458156	0.416327338	0.665340179	0.456371675	0.968007872	0.970849279	0.25416563	0.860015709	Scioto
47	39145003500	0.877442761	0.57194324	0.972742683	0.870032002	0.118117577	0.072677417	0.443505384	0.010419515	0.050107037	Scioto
48	39145003700	0.938469105	0.721151523	0.847432485	0.343533716	0.056353793	0.472448528	0.111955084	0.219153045	0.284179157	Scioto
49	39103415100	0.919656109	0.154533247	0.995774299	0.3176498	0.145868812	0.233143218	0.81760015	0.021254188	0.575585797	Medina
50	39103415200	0.604649857	0.693908799	0.03534635	0.040073512	0.818731095	0.662806116	0.235221028	0.719427334	0.805304977	Medina
51	39103415400	0.180177604	0.555714434	0.404347932	0.738706545	0.359300468	0.737597066	0.590753321	0.601420627	0.272522285	Medina
52	39103415800	0.369986052	0.970371198	0.240174377	0.48364302	0.807636814	0.242603881	0.377680486	0.74750192	0.96684494	Medina
53	39103416000	0.791968816	0.765694616	0.502634738	0.409510527	0.597258338	0.553787091	0.649414675	0.455881269	0.928776008	Medina
54	39103416100	0.17497151	0.212973663	0.364537958	0.32362129	0.184657702	0.484713598	0.195125011	0.442514325	0.895088993	Medina
55	39103416200	0.981511816	0.154498443	0.045576561	0.902820164	0.091080645	0.642514934	0.908965282	0.10717079	0.711305694	Medina
56	39103416300	0.828945794	0.514486345	0.786779111	0.397329279	0.25722281	0.622769574	0.249335177	0.390260715	0.92128903	Medina
57	39103416400	0.986429764	0.060528196	0.355256259	0.741224182	0.88934961	0.989841923	0.306359385	0.804094684	0.023743934	Medina
58	39103409001	0.073767861	0.794967702	0.595910103	0.522182319	0.135704381	0.424826684	0.143428344	0.188921207	0.980565579	Medina
59	39103415300	0.428382473	0.612959048	0.009801893	0.5530984	0.660011594	0.684273913	0.701791957	0.425284882	0.425691253	Medina
60	39103411001	0.922974545	0.003661342	0.041131074	0.017206755	0.172744107	0.448667632	0.280191144	0.389986649	0.909295698	Medina
61	39103411002	0.271211561	0.479357795	0.511306124	0.394580005	0.818745099	0.011708952	0.993158831	0.900615335	0.25584918	Medina
62	39103400100	0.253893587	0.787735916	0.693110513	0.828604647	0.027432481	0.861446664	0.592277216	0.278530365	0.843275669	Medina
63	39103410000	0.565373159	0.389959953	0.89512771	0.029064544	0.063770511	0.949345997	0.604049497	0.438280487	0.308128285	Medina
64	39103405000	0.376020947	0.018141069	0.773111197	0.254105697	0.998911103	0.812368231	0.967307508	0.895509016	0.773841207	Medina
65	39103413000	0.078727215	0.134754661	0.87283525	0.737055854	0.966746523	0.786800359	0.604183486	0.735269427	0.521745335	Medina
66	39165031902	0.005053062	0.57346058	0.908314531	0.044466892	0.517241549	0.662764652	0.084347306	0.949603765	0.387958892	Warren
67	39165031903	0.087989176	0.59858583	0.75710039	0.615883813	0.81671737	0.681643501	0.828246325	0.085267202	0.413175153	Warren
68	39165030101	0.046560102	0.69941649	0.241590538	0.826461393	0.60987007	0.846719356	0.143789132	0.504801117	0.672439676	Warren
69	39165032005	0.560887576	0.638244816	0.03192757	0.152702106	0.96624553	0.642804177	0.796583716	0.292444937	0.488369564	Warren
70	39165031904	0.053735666	0.581609939	0.810660073	0.554629842	0.36134413	0.619749934	0.511241111	0.419364441	0.443005944	Warren
71	39165032003	0.368653405	0.072990057	0.175552992	0.826884135	0.145247004	0.325015514	0.130636534	0.502008839	0.018032475	Warren
72	39165032006	0.423721602	0.207554518	0.519164039	0.745266625	0.41613084	0.768104757	0.876166291	0.574883307	0.652189272	Warren
73	39165032100	0.107056788	0.59149958	0.717562715	0.783330308	0.97652498	0.532588038	0.597840395	0.624112543	0.130958363	Warren
74	39165030102	0.70181364	0.24160583	0.806777817	0.669726884	0.20411836	0.974787681	0.156016634	0.208746004	0.775723278	Warren
75	39165032007	0.535310348	0.041941519	0.050612106	0.177017361	0.182886702	0.200034335	0.001602122	0.09240764	0.905245684	Warren
76	39165030700	0.888649703	0.691444514	0.47618171	0.382868614	0.42814849	0.025469346	0.960817025	0.381278058	0.442792848	Warren
77	39165030200	0.851600916	0.006934658	0.802836009	0.396920156	0.786742544	0.130063699	0.744408499	0.198658011	0.279590711	Warren
78	39075976500	0.397126743	0.918803522	0.313105849	0.612452835	0.052947775	0.945348166	0.280046879	0.572653953	0.193677184	Holmes
79	39075976600	0.677616832	0.002136409	0.53319004	0.064455236	0.929573997	0.270650917	0.29958421	0.320595968	0.192034747	Holmes
80	39075976700	0.88110905	0.18355397	0.94723483	0.028068418	0.736861693	0.476109768	0.695163969	0.973302655	0.052556422	Holmes
81	39075976302	0.050978874	0.676362446	0.263334967	0.771790028	0.619910656	0.220836259	0.184646605	0.568499857	0.158164424	Holmes
82	39075976301	0.807821246	0.574831454	0.037285397	0.939308978	0.260604312	0.449474946	0.51343636	0.719526098	0.422796747	Holmes
83	39075976802	0.892418195	0.469188935	0.284923487	0.941593302	0.69310171	0.690943978	0.750426436	0.097133941	0.824467514	Holmes
84	39075976801	0.986479924	0.655811244	0.674441409	0.773028169	0.477211437	0.432458861	0.830296707	0.579870986	0.503365678	Holmes
85	39061024800	0.647463853	0.455852791	0.788902093	0.305272409	0.265050626	0.71750166	0.785809372	0.973813575	0.662020932	Hamilton
86	39061024901	0.381327155	0.829271646	0.946734323	0.084395795	0.350836963	0.82736063	0.436665662	0.758388608	0.641607479	Hamilton
87	39061025002	0.176523788	0.364007874	0.804400578	0.666970352	0.082950084	0.312390529	0.039742464	0.218855106	0.384879296	Hamilton
88	39061025104	0.26093879	0.870831275	0.785956695	0.70070474	0.848614066	0.317971523	0.099105673	0.327842996	0.025283796	Hamilton
89	39061025102	0.852902951	0.108840348	0.329213642	0.043431066	0.68334416	0.328138791	0.932418504	0.691850191	0.09682126	Hamilton
90	39061024902	0.719875874	0.698909116	0.497990361	0.263055559	0.429276045	0.664665725	0.05718081	0.116169069	0.703029054	Hamilton
91	39061025101	0.512803279	0.998708317	0.902914613	0.872280175	0.676144006	0.042315198	0.185048739	0.246568087	0.942086038	Hamilton
92	39061025001	0.849209455	0.800294991	0.578720754	0.859760801	0.299893575	0.965909872	0.386861013	0.237421769	0.796067745	Hamilton
93	39061008601	0.222027348	0.392183872	0.749460186	0.671114448	0.894508206	0.441805906	0.807592762	0.268157404	0.928017968	Hamilton
94	39061008800	0.163043476	0.449155076	0.797435209	0.326968505	0.037524594	0.386301447	0.221020253	0.098368486	0.987881957	Hamilton
95	39061009200	0.963705172	0.936285813	0.774583157	0.368335099	0.27728327	0.617132978	0.852958076	0.859716361	0.366390721	Hamilton
96	39061009300	0.83911926	0.154330298	0.052834401	0.617887775	0.224280843	0.778360024	0.203779595	0.289147863	0.739361897	Hamilton
97	39061009400	0.862714146	0.375059565	0.53249021	0.917304861	0.559993085	0.692478748	0.134847714	0.841714779	0.997167183	Hamilton
98	39061009500	0.754293902	0.079892885	0.699804206	0.469754823	0.745980994	0.856272313	0.884064753	0.537969385	0.987335045	Hamilton
99	39061009600	0.517632298	0.852820829	0.59320738	0.010618222	0.810371376	0.385612011	0.129187796	0.368598959	0.523498844	Hamilton
100	39061027400	0.355126142	0.894985338	0.061558735	0.09916965	0.053702522	0.336749824	0.135103788	0.706293699	0.298770882	Hamilton
101	39061027300	0.289122826	0.993370228	0.988920721	0.27596601	0.395437738	0.527728418	0.32209841	0.906335023	0.55309103	Hamilton
102	39061025103	0.256136662	0.370066461	0.389190196	0.657492234	0.832142575	0.046863287	0.393563326	0.630233691	0.895301208	Hamilton
103	39061006000	0.793556963	0.012131157	0.311009406	0.514298755	0.243602765	0.403045336	0.9274783	0.473126149	0.386176731	Hamilton
104	39061022302	0.670336805	0.836832552	0.201783351	0.17821375	0.884045109	0.313634783	0.680853157	0.558627998	0.562348045	Hamilton
105	39061023100	0.745921912	0.483490924	0.246503657	0.281567423	0.184688979	0.038284882	0.237151752	0.090935303	0.010505943	Hamilton
106	39061023222	0.235435363	0.735424083	0.596979411	0.718240735	0.450406758	0.905487927	0.593936778	0.058718509	0.910769029	Hamilton
107	39061009700	0.73717259	0.708828779	0.17776632	0.150371479	0.457011188	0.704707948	0.367641006	0.513125514	0.236462014	Hamilton
108	39061009800	0.834664668	0.155626118	0.198775532	0.054213682	0.074605348	0.325128577	0.890925266	0.44403082	0.731761324	Hamilton
109	39061009901	0.862547647	0.499508327	0.884387221	0.097807204	0.143213854	0.948712812	0.053200958	0.299386093	0.278717518	Hamilton
110	39061009902	0.082192388	0.049213019	0.120848691	0.076670459	0.655439211	0.614122252	0.247950008	0.384636217	0.172156125	Hamilton
111	39061010002	0.119799762	0.485011498	0.049833827	0.304018966	0.263911848	0.852308228	0.222714306	0.660342296	0.025425744	Hamilton
112	39061010201	0.94431665	0.86122994	0.595922511	0.572122115	0.098522843	0.151359411	0.937547448	0.48569291	0.357905396	Hamilton
113	39061010202	0.720193487	0.219126456	0.149561113	0.946349054	0.073082017	0.650220697	0.941906327	0.443958966	0.148639694	Hamilton
114	39149971700	0.830968483	0.440374305	0.012082648	0.587961504	0.015059619	0.130922643	0.607447183	0.831877709	0.662602442	Shelby
115	39149971800	0.096710891	0.476592572	0.393914755	0.408112928	0.282108514	0.915439059	0.24560638	0.577664677	0.362063011	Shelby
116	39149971900	0.946283449	0.614125005	0.513764826	0.424098952	0.895425716	0.975070011	0.474503938	0.692610902	0.318893611	Shelby
117	39149972100	0.426021956	0.757018798	0.854614908	0.569960693	0.303558189	0.908149153	0.668921272	0.189256466	0.929397684	Shelby
118	39149972200	0.165968421	0.389780522	0.864073202	0.010974357	0.486827483	0.207226609	0.119929797	0.351180033	0.729724585	Shelby
119	39149972300	0.961633355	0.226332091	0.963237058	0.221996682	0.39467475	0.413916588	0.153011469	0.658151419	0.858168971	Shelby
120	39007000102	0.754610378	0.440320915	0.042305279	0.581846144	0.167867286	0.719664037	0.640604119	0.959657084	0.738003674	Ashtabula
121	39007000900	0.720339029	0.30634838	0.199130603	0.230740775	0.253544465	0.425990895	0.956027085	0.009865216	0.262583612	Ashtabula
122	39007001200	0.749742011	0.944742649	0.345008446	0.372452357	0.162024968	0.00656823	0.094161091	0.229447483	0.490643065	Ashtabula
123	39007000200	0.369382365	0.19223699	0.45476436	0.581731712	0.493818398	0.408721951	0.801095124	0.5681033	0.670213783	Ashtabula
124	39007000103	0.467808841	0.339378103	0.833372211	0.040960734	0.432136326	0.240009591	0.036020453	0.45489131	0.275511108	Ashtabula
125	39007000704	0.014437921	0.895968926	0.175715785	0.683210907	0.169821519	0.236952005	0.644301482	0.429313871	0.725012776	Ashtabula
126	39007000300	0.134249274	0.585959843	0.706257352	0.256674784	0.237513964	0.937093704	0.742077203	0.925171974	0.358393942	Ashtabula
127	39061023501	0.473975381	0.77571684	0.299464212	0.257608826	0.209035251	0.120099945	0.799086884	0.335378514	0.055513516	Hamilton
128	39061023901	0.254886385	0.114244736	0.122734722	0.350033485	0.559350341	0.085859077	0.696150291	0.701818631	0.924431818	Hamilton
129	39061024001	0.893824953	0.866233184	0.673126257	0.253274942	0.424158419	0.039575105	0.613269736	0.01977997	0.601558633	Hamilton
130	39061010100	0.093386936	0.380320706	0.695352841	0.626544381	0.640126298	0.939957324	0.648993125	0.299162353	0.620976755	Hamilton
131	39061020802	0.228974226	0.591371188	0.275203229	0.948278214	0.519981888	0.938090802	0.957559846	0.105779423	0.558099104	Hamilton
132	39061020901	0.198000372	0.5653106	0.603826048	0.948020207	0.427948009	0.616797186	0.624921016	0.292470479	0.341025569	Hamilton
133	39061010300	0.988721762	0.333142677	0.170525849	0.226919805	0.312108899	0.695649984	0.694076926	0.793224274	0.754161042	Hamilton
134	39061010400	0.360370379	0.074702124	0.851265717	0.02139954	0.976749007	0.000327744	0.884886935	0.872696369	0.245821199	Hamilton
135	39061010500	0.99012881	0.554353883	0.725139241	0.915102727	0.122257066	0.369450391	0.387349383	0.635930115	0.51410125	Hamilton
136	39061010600	0.63361784	0.491135152	0.283950651	0.109186523	0.324094075	0.736985688	0.267395593	0.086341866	0.89301054	Hamilton
137	39061010700	0.756366598	0.315557402	0.171040132	0.669208873	0.557275335	0.906539307	0.305446643	0.373301628	0.213279603	Hamilton
138	39061010800	0.349548799	0.543031558	0.604762417	0.3609196	0.678668228	0.570959591	0.4500993	0.610633901	0.426654098	Hamilton
139	39061010900	0.529582207	0.8001313	0.227043325	0.503172874	0.183796213	0.276795383	0.130960232	0.134541478	0.367412741	Hamilton
140	39061011000	0.387302611	0.652111703	0.263742545	0.112946471	0.820739184	0.426340768	0.411070816	0.562422809	0.913737191	Hamilton
141	39061011100	0.631217227	0.315884789	0.953409459	0.942229932	0.308462757	0.616887853	0.664256737	0.626378175	0.499313013	Hamilton
142	39149972000	0.087457029	0.11957726	0.232977899	0.326659492	0.165385958	0.269838376	0.755717095	0.048552357	0.94043451	Shelby
143	39149971600	0.357182362	0.487420985	0.834373231	0.842051028	0.983918435	0.609362202	0.063503085	0.038960149	0.367072508	Shelby
144	39149971400	0.636224574	0.742449297	0.956288551	0.970890872	0.954796581	0.301090965	0.15772858	0.498534893	0.225693025	Shelby
145	39149971500	0.529794263	0.506219845	0.135220974	0.511138654	0.12535826	0.015337533	0.817125279	0.996260719	0.136235499	Shelby
146	39007000703	0.719856226	0.038624732	0.511836858	0.882409433	0.036127002	0.191697289	0.191883921	0.036474312	0.549429082	Ashtabula
147	39007000603	0.692809295	0.757201507	0.127821055	0.4616858	0.741082566	0.579834067	0.691855958	0.551335202	0.795901329	Ashtabula
148	39007000601	0.885319191	0.568256495	0.31100698	0.000848058	0.959196961	0.657884507	0.409588941	0.376798422	0.835604489	Ashtabula
149	39007000701	0.949424311	0.503708905	0.019949706	0.59134792	0.44209612	0.333046232	0.487621596	0.744857773	0.219162733	Ashtabula
150	39007000602	0.078745264	0.000645674	0.841161478	0.966555103	0.204767563	0.274675468	0.879351202	0.74530653	0.981144539	Ashtabula
151	39007000500	0.741778425	0.245964257	0.116393196	0.89424466	0.874227065	0.641556989	0.893817181	0.172480136	0.663055887	Ashtabula
152	39007000702	0.289400205	0.509547401	0.879487503	0.260485394	0.733717045	0.507518671	0.236472306	0.706187624	0.743552649	Ashtabula
153	39007001400	0.920427621	0.360113132	0.75987394	0.953980454	0.371216093	0.063104525	0.959363782	0.213042514	0.248733806	Ashtabula
154	39007000101	0.700254792	0.339812841	0.592167715	0.564997279	0.886236493	0.037322559	0.177558834	0.405625283	0.421533709	Ashtabula
155	39061021504	0.117451731	0.510982034	0.614122236	0.642487737	0.419073201	0.057276456	0.278092692	0.551316012	0.123205315	Hamilton
156	39061021505	0.040456601	0.165720296	0.149107366	0.072681006	0.487995005	0.404208351	0.52114179	0.268842017	0.954048569	Hamilton
157	39061022602	0.514035448	0.090696394	0.107624721	0.095659859	0.627578881	0.526995315	0.301323581	0.969956735	0.54457134	Hamilton
158	39061022400	0.403974735	0.861101801	0.14653547	0.149278047	0.588167493	0.275395574	0.824324632	0.42960608	0.71518808	Hamilton
159	39061022500	0.381954646	0.190955286	0.843769354	0.868782637	0.899664121	0.702818573	0.702399978	0.222887902	0.500675908	Hamilton
160	39061023400	0.167061753	0.518543801	0.719025405	0.970449912	0.743256747	0.347842014	0.97172141	0.722865372	0.88784312	Hamilton
161	39061021002	0.201065914	0.455789211	0.216936688	0.512177271	0.593675762	0.225203564	0.304272636	0.155303286	0.716099498	Hamilton
162	39061021003	0.823959205	0.842276132	0.93926428	0.01858629	0.451076878	0.611858937	0.043183723	0.66704605	0.272446516	Hamilton
163	39061020902	0.738367905	0.983058604	0.901184954	0.349154362	0.985399284	0.199554506	0.94435713	0.163593767	0.849370266	Hamilton
164	39061021001	0.712073456	0.60782339	0.824684457	0.473869476	0.249683993	0.205607158	0.012647805	0.555283874	0.216816272	Hamilton
165	39061000200	0.569076086	0.022634636	0.958443072	0.096503804	0.709585855	0.313858502	0.504295414	0.674859632	0.222311041	Hamilton
166	39061000700	0.142739501	0.88595171	0.931768335	0.309288064	0.584429585	0.698872937	0.25535601	0.890024258	0.809800224	Hamilton
167	39061000900	0.874270868	0.409487757	0.078761726	0.162999885	0.504240657	0.093379565	0.575080465	0.703128965	0.611362387	Hamilton
168	39061001000	0.847328637	0.218139386	0.505376447	0.456645183	0.077162427	0.387905795	0.482665665	0.19920631	0.516928948	Hamilton
169	39061001100	0.688609093	0.027994872	0.66417777	0.491115056	0.390216665	0.248145915	0.582554638	0.289273615	0.863932561	Hamilton
170	39061001600	0.661174278	0.432654571	0.372469303	0.373298781	0.154184636	0.831055352	0.23094343	0.655804584	0.14112933	Hamilton
171	39061001700	0.621068021	0.663854761	0.184007294	0.75123444	0.183186915	0.563534714	0.342204114	0.34629421	0.871434096	Hamilton
172	39061001800	0.77779685	0.701352835	0.758365786	0.05060057	0.57285639	0.4464565	0.090972005	0.147358016	0.095627963	Hamilton
173	39061001900	0.265619961	0.597595269	0.750661999	0.407579935	0.422567393	0.888586514	0.451254983	0.773073093	0.122406822	Hamilton
174	39061021422	0.366741974	0.036098662	0.70725724	0.599228025	0.887338483	0.634729468	0.794868392	0.709374478	0.194491299	Hamilton
175	39061021202	0.985322362	0.849248459	0.966411478	0.082001586	0.751494602	0.238194251	0.995257233	0.663886561	0.28024587	Hamilton
176	39061021401	0.633929241	0.500333788	0.128359559	0.256140633	0.866893472	0.844653914	0.424834469	0.234770482	0.452274241	Hamilton
177	39061021571	0.353670357	0.051150489	0.441405048	0.519978347	0.664599651	0.808809303	0.559912314	0.008921466	0.789081353	Hamilton
178	39061021801	0.680070836	0.229420519	0.906449563	0.339234198	0.141398115	0.20521585	0.662108434	0.73737293	0.497708642	Hamilton
179	39061022102	0.482267925	0.776935975	0.357622064	0.841271985	0.68333331	0.411356406	0.131751356	0.874153467	0.796685836	Hamilton
180	39007000400	0.919989251	0.270455336	0.973985168	0.909932932	0.061077708	0.059056889	0.226338599	0.001786523	0.327804694	Ashtabula
181	39007001302	0.730904465	0.390864699	0.818096595	0.93468236	0.647035931	0.985151582	0.381945573	0.285981391	0.132177572	Ashtabula
182	39007001102	0.554701267	0.994956904	0.047468808	0.545233929	0.514966321	0.90526458	0.251810892	0.141636998	0.066583428	Ashtabula
183	39007000802	0.727161275	0.170948529	0.123812492	0.75338207	0.23532287	0.591615914	0.932554786	0.877051053	0.97557984	Ashtabula
184	39007000801	0.503169595	0.943615364	0.633723741	0.065067663	0.357471335	0.607803901	0.61130002	0.556383139	0.287663901	Ashtabula
185	39007001002	0.82824258	0.945470946	0.381898148	0.889660128	0.731490842	0.415598674	0.757693642	0.923089469	0.446994148	Ashtabula
186	39007001001	0.017132048	0.364097689	0.653355574	0.799965906	0.823775514	0.238394462	0.299715951	0.350046538	0.083811162	Ashtabula
187	39007001101	0.963084852	0.643182338	0.774032766	0.631667092	0.840793668	0.920112059	0.060318925	0.107534885	0.620875643	Ashtabula
188	39007001301	0.387677841	0.171081039	0.047240359	0.39070382	0.604364152	0.072910381	0.478452968	0.385871782	0.102844636	Ashtabula
189	39061021101	0.282133726	0.838422267	0.952854984	0.718185261	0.339585396	0.775421548	0.858341786	0.4545601	0.863681043	Hamilton
190	39061020812	0.905221077	0.547515241	0.190007733	0.468437075	0.932283952	0.765583213	0.656345867	0.466489132	0.060867669	Hamilton
191	39061022000	0.078302695	0.339064104	0.513657632	0.447721644	0.046455954	0.226209777	0.774313246	0.544287164	0.469701909	Hamilton
192	39061026102	0.683452961	0.229939312	0.097246205	0.905561748	0.059211292	0.680808444	0.88902573	0.145975261	0.075876659	Hamilton
193	39061022700	0.32510497	0.49530192	0.259862678	0.376015945	0.926979698	0.415354731	0.646665119	0.022127801	0.404664026	Hamilton
194	39061026002	0.037744622	0.725617976	0.231395095	0.17841217	0.042124428	0.520459656	0.759843827	0.519956029	0.35834973	Hamilton
195	39061024322	0.464179188	0.298512482	0.826121726	0.708486142	0.52708017	0.33758351	0.505885588	0.669787308	0.252159237	Hamilton
196	39061024303	0.38011377	0.297882769	0.769083189	0.169407615	0.985261451	0.217082578	0.359194788	0.198330222	0.573409734	Hamilton
197	39061024100	0.562500611	0.312759037	0.866680658	0.195562488	0.647936567	0.177254064	0.828710541	0.20409812	0.182868324	Hamilton
198	39061002000	0.256752348	0.63550501	0.525477529	0.698315901	0.64699358	0.40577347	0.909613676	0.323976889	0.607486567	Hamilton
199	39061002200	0.196709196	0.062264888	0.117633519	0.262479127	0.585004547	0.889018559	0.824571224	0.712524675	0.211577618	Hamilton
200	39061002300	0.61946213	0.439626874	0.412237843	0.304694293	0.333960487	0.002710058	0.562323323	0.070275584	0.867158015	Hamilton
201	39061002500	0.921286481	0.188858252	0.234999812	0.005206978	0.391794629	0.88207536	0.204012047	0.403497056	0.446308391	Hamilton
202	39061002600	0.402866436	0.561844076	0.846013482	0.877694255	0.266278086	0.328981765	0.161443769	0.002173339	0.338457045	Hamilton
203	39061002700	0.954175069	0.422317503	0.474825347	0.31924109	0.930061272	0.285914918	0.140225242	0.540738601	0.249302047	Hamilton
204	39061002800	0.776384765	0.302205795	0.069594892	0.414411565	0.366278649	0.792766977	0.650382508	0.505352934	0.354490391	Hamilton
205	39061002900	0.951290852	0.231515582	0.692420505	0.709988579	0.25643681	0.341322234	0.531261772	0.518053254	0.193825608	Hamilton
206	39061003000	0.637022849	0.707178937	0.164651717	0.507621374	0.041837266	0.541110606	0.740302406	0.969842379	0.237153364	Hamilton
207	39061003200	0.328457831	0.921689496	0.455424687	0.958717513	0.142158493	0.840232193	0.731837544	0.556829229	0.900636837	Hamilton
208	39061022200	0.572362897	0.041288852	0.245080341	0.283738083	0.32674436	0.957042441	0.390081425	0.569370017	0.716765673	Hamilton
